Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Sheraden,70,258.0,118.806565475,123.0,72.9657453879,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,21.0,35.8329457344,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,20.0,29.6816441593,11.0,27.4954541697,47.0,55.2901437871,0.0,24.4948974278,0.0,24.4948974278,24.0,34.0734500748,0.0,24.4948974278,135.0,87.6070773397
South Oakland,71,84.0,55.4797260268,63.0,44.2605919526,0.0,20.0,0.0,20.0,5.0,19.5192212959,4.0,20.0,5.0,19.5192212959,0.0,20.0,0.0,20.0,0.0,20.0,5.0,21.6564078277,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,36.0,32.9241552663,8.0,21.0713075057,21.0,24.6981780705
South Shore,72,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
South Side Flats,73,27.0,37.2155881319,11.0,27.4954541697,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,11.0,27.4954541697,0.0,24.4948974278,0.0,24.4948974278,16.0,35.0570962859
South Side Slopes,74,121.0,79.5361553006,68.0,68.6294397471,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,10.0,28.7228132327,0.0,26.4575131106,0.0,26.4575131106,10.0,29.2574776766,10.0,28.7228132327,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,10.0,28.7228132327,0.0,26.4575131106,0.0,26.4575131106,25.0,32.5883414735,3.0,25.0,53.0,42.4970587217
Spring Garden,75,76.0,44.1474801093,45.0,25.079872408,14.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,6.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,5.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,11.0,14.8660687473,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,31.0,25.079872408
Spring Hill-City View,76,9.0,20.6155281281,9.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,9.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Squirrel Hill North,77,207.0,88.4137998277,150.0,77.3175271205,0.0,31.6227766016,0.0,31.6227766016,10.0,33.5410196625,0.0,31.6227766016,35.0,43.8634243989,20.0,42.4264068712,9.0,33.1058907145,0.0,31.6227766016,0.0,31.6227766016,7.0,32.3109888428,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,69.0,42.3083916025,0.0,31.6227766016,57.0,43.9886348957
Squirrel Hill South,78,284.0,135.51014722,93.0,74.0202674948,15.0,42.1426150114,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,9.0,37.3630833845,0.0,36.0555127546,0.0,36.0555127546,10.0,38.5875627632,0.0,36.0555127546,17.0,44.5421149025,42.0,57.8791845138,191.0,122.073748202
St. Clair,79,6,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,16
Stanton Heights,80,176.0,129.576232388,83.0,66.7083203206,0.0,20.0,0.0,20.0,0.0,20.0,18.0,32.0780298647,18.0,32.0780298647,0.0,20.0,0.0,20.0,0.0,20.0,6.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,30.0,37.6828873629,11.0,25.7099202644,93.0,73.5527021937
Strip District,81,2,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,5
Summer Hill,82,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Swisshelm Park,83,29,37,5,8,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,24,36
Terrace Village,84,37.0,34.5976877841,37.0,34.5976877841,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,30.0,31.4642654451,7.0,19.8997487421,0.0,17.3205080757
Troy Hill,85,45.0,49.244289009,25.0,35.4400902933,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,6.0,19.7230829233,19.0,30.6757233004,20.0,26.2488094968
Upper Hill,86,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Upper Lawrenceville,87,95.0,96.6747123088,62.0,93.0806102258,22.0,34.9857113691,0.0,17.3205080757,0.0,17.3205080757,20.0,33.1662479036,0.0,17.3205080757,20.0,33.1662479036,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,33.0,29.883105595
West End,88,44,60,28,39,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,28,39,0,10,16,22
West Oakland,89,66.0,38.8329756779,48.0,30.4138126515,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,6.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,3.0,11.1803398875,0.0,14.1421356237,31.0,21.9544984001,8.0,11.401754251,18.0,18.8679622641
Westwood,90,257.0,217.441946275,149.0,123.547561692,6.0,14.8660687473,38.0,47.0744091838,7.0,14.8660687473,0.0,14.1421356237,45.0,54.918120871,0.0,14.1421356237,13.0,22.360679775,12.0,20.591260282,0.0,14.1421356237,0.0,14.1421356237,12.0,20.591260282,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,16.0,26.9258240357,0.0,14.1421356237,108.0,107.466273779
Windgap,91,53.0,51.6236379966,36.0,47.0744091838,29.0,46.0977222865,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,14.8660687473,0.0,14.1421356237,17.0,15.2643375225
